,,,,Feb-18,,,Mar-18,,,Apr-18,,,May-18,,,Jun-18,,,Jul-18,,,Aug-18,,,Sep-18,,,Oct-18,,,Nov-18,,,Dec-18,,,Jan-19,,,Feb-19,,
RQ3,FT,West Midlands,Birmingham Women's and Children's,1,1,0,2,1,1,4,2,2,3,1,2,2,1,1,2,1,1,2,0,2,3,2,1,3,2,1,3,2,1,3,2,1,2,2,0,4,1,3
RXL,FT,North West,Blackpool Teaching Hospitals,18,4,14,17,9,8,24,4,20,25,7,18,27,3,24,19,5,14,31,10,21,28,9,19,21,3,18,28,5,23,22,5,17,21,4,17,25,5,20
RMC,FT,North West,Bolton,22,4,18,20,7,13,28,2,26,17,0,17,31,5,26,23,1,22,34,7,27,29,2,27,22,4,18,15,4,11,25,2,23,28,5,23,12,2,10
RAE,FT,Yorkshire and Humber,Bradford Teaching Hospitals,26,5,21,34,9,25,20,6,14,24,5,19,22,6,16,31,4,27,30,4,26,30,3,27,22,3,19,25,3,22,21,2,19,21,2,19,18,2,16
RXH,--,South East,Brighton & Sussex University Hospitals,18,6,12,30,4,26,26,5,21,19,2,17,19,2,17,28,1,27,22,5,17,23,5,18,41,5,36,20,3,17,22,1,21,17,4,13,18,4,14
RXQ,--,South East,Buckinghamshire Healthcare,16,4,12,19,5,14,23,4,19,21,3,18,25,1,24,21,1,20,17,6,11,13,6,7,23,2,21,21,4,17,20,2,18,21,2,19,16,4,12
RWY,FT,Yorkshire and Humber,Calderdale & Huddersfield,22,6,16,25,4,21,27,6,21,25,4,21,23,1,22,32,5,27,34,4,30,27,5,22,37,6,31,15,1,14,27,2,25,21,6,15,25,6,19
RGT,FT,East of England,Cambridge University Hospitals,19,5,14,28,5,23,25,4,21,33,8,25,35,10,25,31,11,20,43,9,34,31,10,21,42,7,35,43,11,32,31,6,25,42,13,29,35,9,26
RQM,FT,London,Chelsea & Westminster Hospital,23,5,18,31,7,24,34,2,32,26,4,22,31,4,27,34,5,29,33,6,27,35,6,29,40,4,36,38,11,27,27,5,22,34,11,23,25,1,24
RFS,FT,East Midlands,Chesterfield Royal Hospital,19,2,17,21,3,18,19,3,16,28,1,27,15,1,14,28,4,24,31,4,27,28,4,24,25,3,22,20,4,16,19,5,14,22,4,18,25,4,21
RLN,FT,North East,City Hospitals Sunderland,26,7,19,23,6,17,31,6,25,25,5,20,24,4,20,24,4,20,33,6,27,22,5,17,31,8,23,29,6,23,23,6,17,32,5,27,22,6,16
RJR,FT,North West,Countess of Chester Hospital,16,4,12,13,2,11,13,1,12,19,5,14,15,2,13,21,3,18,25,4,21,15,0,15,17,3,14,17,2,15,15,3,12,16,1,15,22,4,18
RXP,FT,North East,County Durham & Darlington,12,1,11,35,8,27,33,7,26,38,4,34,36,3,33,29,4,25,33,7,26,38,6,32,32,6,26,27,3,24,38,8,30,35,7,28,24,1,23
RJ6,--,London,Croydon Health Services,19,2,17,15,3,12,18,2,16,16,1,15,20,2,18,13,0,13,18,3,15,15,1,14,27,3,24,18,4,14,22,3,19,15,2,13,15,2,13
RN7,--,South East,Dartford & Gravesham,18,4,14,25,6,19,20,3,17,17,1,16,22,3,19,25,3,22,21,5,16,17,4,13,18,3,15,25,2,23,10,0,10,24,6,18,21,4,17
RP5,FT,Yorkshire and Humber,Doncaster & Bassetlaw Hospitals,30,6,24,22,3,19,27,1,26,26,7,19,35,6,29,39,5,34,27,1,26,31,6,25,41,12,29,23,6,17,26,6,20,32,9,23,32,6,26
RBD,FT,South West,Dorset County Hospital,10,0,10,7,0,7,8,2,6,15,0,15,20,1,19,16,4,12,11,4,7,8,1,7,17,0,17,14,2,12,11,2,9,7,0,7,7,1,6
RWH,--,East of England,East & North Hertfordshire,32,4,28,17,3,14,20,4,16,10,4,6,21,3,18,22,4,18,32,1,31,33,3,30,20,2,18,23,2,21,20,2,18,26,3,23,20,6,14
RJN,--,North West,East Cheshire,12,4,8,8,1,7,9,1,8,7,0,7,6,0,6,13,1,12,11,4,7,12,0,12,10,0,10,8,1,7,19,2,17,11,0,11,11,0,11
RVV,FT,South East,East Kent Hospitals University,34,8,26,51,7,44,41,7,34,52,9,43,40,7,33,54,4,50,47,6,41,52,7,45,55,11,44,53,7,46,40,6,34,45,3,42,48,6,42
RXR,--,North West,East Lancashire Hospitals,23,4,19,38,3,35,35,5,30,37,5,32,36,2,34,35,6,29,36,8,28,37,4,33,38,7,31,35,6,29,40,7,33,33,3,30,30,7,23
RDE,FT,East of England,East Suffolk and North Essex1,32,3,29,48,5,43,43,7,36,41,2,39,53,9,44,47,9,38,47,7,40,40,4,36,53,6,47,31,2,29,41,4,37,49,6,43,41,5,36
RXC,--,South East,East Sussex Healthcare,17,3,14,29,4,25,26,6,20,35,4,31,28,6,22,33,5,28,32,6,26,38,9,29,30,5,25,33,7,26,28,5,23,29,1,28,21,2,19
RVR,--,London,Epsom & St Helier University Hospitals,28,2,26,20,1,19,21,1,20,32,3,29,23,3,20,33,4,29,24,2,22,24,4,20,24,2,22,24,2,22,32,4,28,16,3,13,15,4,11
RDU,FT,South East,Frimley Health,34,6,28,54,11,43,49,9,40,61,13,48,59,6,53,47,6,41,72,8,64,55,8,47,76,13,63,64,9,55,56,6,50,55,9,46,56,9,47
RR7,FT,North East,Gateshead Health,14,4,10,19,2,17,23,3,20,26,4,22,24,3,21,23,3,20,25,4,21,29,7,22,20,3,17,21,2,19,16,5,11,26,3,23,18,3,15
RLT,--,West Midlands,George Eliot Hospital,13,1,12,12,2,10,11,2,9,14,2,12,12,0,12,14,2,12,24,1,23,14,2,12,11,0,11,11,0,11,12,3,9,13,0,13,15,2,13
RTE,FT,South West,Gloucestershire Hospitals,18,0,18,18,3,15,17,4,13,15,3,12,24,3,21,23,4,19,28,7,21,32,4,28,25,4,21,17,4,13,20,3,17,34,3,31,17,2,15
RP4,FT,London,Great Ormond Street Hospital for Children,1,1,0,3,2,1,2,2,0,2,2,0,2,2,0,0,0,0,2,0,2,2,1,1,2,1,1,3,3,0,1,1,0,0,0,0,3,2,1
RN3,FT,South West,Great Western Hospitals,16,2,14,14,1,13,8,2,6,18,0,18,22,2,20,14,2,12,20,3,17,29,8,21,18,2,16,17,5,12,18,2,16,19,1,18,14,7,7
RJ1,FT,London,Guy's & St. Thomas',25,8,17,15,5,10,23,6,17,28,9,19,27,7,20,16,3,13,30,6,24,25,10,15,36,10,26,29,9,20,19,9,10,12,4,8,28,7,21
RN5,FT,South East,Hampshire Hospitals,15,4,11,18,8,10,20,2,18,23,2,21,26,2,24,25,1,24,33,8,25,18,1,17,22,2,20,22,0,22,23,6,17,24,2,22,25,4,21
RCD,FT,Yorkshire and Humber,Harrogate & District,14,3,11,12,2,10,13,0,13,15,1,14,13,2,11,10,2,8,15,1,14,11,1,10,9,1,8,7,2,5,7,1,6,15,2,13,11,3,8
RQX,FT,London,Homerton University Hospital,7,2,5,8,0,8,13,2,11,11,1,10,7,3,4,18,4,14,16,2,14,9,1,8,10,4,6,15,4,11,14,3,11,10,1,9,6,0,6
RWA,--,Yorkshire and Humber,Hull & East Yorkshire Hospitals,36,9,27,26,7,19,35,7,28,34,11,23,39,11,28,52,12,40,40,12,28,41,5,36,33,4,29,37,8,29,38,10,28,35,7,28,42,9,33
RYJ,--,London,Imperial College Healthcare,23,6,17,20,4,16,22,5,17,35,8,27,27,8,19,35,7,28,31,8,23,40,13,27,29,4,25,29,10,19,26,5,21,21,6,15,20,6,14
R1F,--,South East,Isle of Wight,13,2,11,8,1,7,5,0,5,8,1,7,12,1,11,19,4,15,13,1,12,15,2,13,14,1,13,11,1,10,12,0,12,14,1,13,5,1,4
RGP,FT,East of England,James Paget University Hospitals,19,6,13,12,4,8,17,4,13,17,3,14,19,6,13,21,2,19,22,6,16,17,1,16,20,4,16,24,5,19,14,1,13,15,7,8,15,4,11
RNQ,FT,East Midlands,Kettering General Hospital,32,4,28,24,4,20,25,1,24,15,2,13,15,3,12,25,3,22,22,3,19,23,6,17,24,2,22,15,0,15,15,3,12,22,2,20,13,2,11
RJZ,FT,London,King's College Hospital,33,8,25,39,13,26,56,10,46,46,14,32,45,7,38,45,13,32,49,14,35,39,10,29,42,9,33,39,8,31,35,6,29,36,7,29,35,7,28
RAX,FT,London,Kingston Hospital,10,1,9,12,0,12,12,5,7,13,1,12,18,4,14,10,1,9,13,1,12,14,0,14,20,4,16,8,1,7,14,2,12,10,2,8,10,1,9
RXN,FT,North West,Lancashire Teaching Hospitals,23,5,18,23,4,19,26,3,23,28,7,21,31,3,28,33,5,28,30,4,26,34,12,22,27,5,22,24,5,19,25,6,19,30,6,24,22,6,16
RR8,--,Yorkshire and Humber,Leeds Teaching Hospitals,53,12,41,52,12,40,47,16,31,70,21,49,49,15,34,58,17,41,74,16,58,55,19,36,65,18,47,64,25,39,65,12,53,59,19,40,60,22,38
RJ2,--,London,Lewisham & Greenwich,32,6,26,33,5,28,31,4,27,43,6,37,42,4,38,30,3,27,38,6,32,29,5,24,40,10,30,30,3,27,29,2,27,31,6,25,28,7,21
RBQ,FT,North West,Liverpool Heart & Chest Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
REP,FT,North West,Liverpool Women's,0,0,0,1,1,0,1,0,1,3,1,2,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1
R1K,--,London,London North West University Healthcare,49,11,38,50,8,42,54,13,41,45,7,38,47,9,38,39,5,34,59,8,51,46,6,40,51,9,42,44,9,35,35,10,25,57,8,49,39,13,26
RC9,FT,East of England,Luton & Dunstable University Hospital,14,2,12,22,1,21,20,3,17,21,4,17,25,3,22,19,2,17,23,6,17,16,2,14,19,2,17,17,4,13,12,1,11,11,4,7,12,1,11
RWF,--,South East,Maidstone & Tunbridge Wells,22,2,20,34,5,29,23,3,20,30,6,24,27,9,18,37,7,30,38,8,30,32,3,29,32,5,27,33,10,23,28,6,22,24,4,20,19,4,15
R0A,FT,North West,Manchester University2,40,9,31,35,7,28,38,4,34,48,14,34,61,18,43,54,12,42,60,19,41,62,10,52,38,15,23,49,10,39,48,8,40,48,12,36,32,6,26
RPA,FT,South East,Medway,23,5,18,21,2,19,24,4,20,27,6,21,40,9,31,25,5,20,23,4,19,24,5,19,23,1,22,20,4,16,19,4,15,21,4,17,20,7,13
RBT,FT,North West,Mid Cheshire Hospitals,12,1,11,21,5,16,17,1,16,10,0,10,9,2,7,14,1,13,19,5,14,15,1,14,19,4,15,17,4,13,19,4,15,12,1,11,15,4,11
RQ8,--,East of England,Mid Essex Hospital Services,22,1,21,9,0,9,18,1,17,23,6,17,21,0,21,21,4,17,20,4,16,20,1,19,24,4,20,6,0,6,20,3,17,29,7,22,16,1,15
RXF,--,Yorkshire and Humber,Mid Yorkshire Hospitals,23,6,17,37,2,35,32,10,22,46,10,36,38,5,33,35,6,29,36,4,32,45,4,41,36,5,31,40,2,38,52,10,42,32,6,26,27,2,25
RD8,FT,East of England,Milton Keynes University Hospital,12,3,9,13,3,10,26,5,21,15,1,14,32,4,28,20,4,16,22,3,19,19,1,18,21,1,20,16,4,12,13,1,12,28,4,24,17,1,16
RP6,FT,London,Moorfields Eye Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM1,FT,East of England,Norfolk & Norwich University Hospitals,26,1,25,28,3,25,28,4,24,23,4,19,37,7,30,40,4,36,28,2,26,37,8,29,25,5,20,32,8,24,26,1,25,18,5,13,28,4,24
RVJ,--,South West,North Bristol,22,6,16,25,4,21,29,6,23,24,3,21,29,7,22,25,4,21,34,5,29,23,6,17,22,4,18,29,5,24,21,2,19,32,6,26,21,6,15
RNL,--,North West,North Cumbria University Hospitals,15,3,12,16,1,15,21,4,17,18,2,16,26,1,25,23,2,21,29,5,24,28,0,28,26,4,22,19,3,16,18,3,15,28,1,27,28,3,25
RAP,--,London,North Middlesex University Hospital,15,3,12,23,5,18,14,2,12,20,3,17,21,4,17,26,4,22,26,1,25,21,1,20,9,1,8,7,0,7,14,0,14,21,4,17,19,3,16
RVW,FT,North East,North Tees & Hartlepool,28,1,27,23,1,22,24,4,20,30,3,27,31,3,28,35,8,27,28,2,26,35,3,32,34,5,29,22,3,19,27,2,25,25,2,23,32,1,31
RGN,FT,East of England,North West Anglia,27,1,26,29,3,26,24,2,22,34,0,34,34,3,31,27,4,23,37,3,34,25,4,21,38,6,32,22,3,19,21,2,19,36,4,32,27,4,23
RNS,--,East Midlands,Northampton General Hospital,17,4,13,17,2,15,21,1,20,23,5,18,23,3,20,26,3,23,22,2,20,21,1,20,19,2,17,21,4,17,19,6,13,19,3,16,14,0,14
RBZ,--,South West,Northern Devon Healthcare,9,3,6,7,1,6,11,0,11,16,3,13,10,1,9,19,2,17,14,6,8,15,4,11,17,2,15,7,0,7,9,2,7,12,3,9,11,2,9
RJL,FT,Yorkshire and Humber,Northern Lincolnshire & Goole,25,2,23,21,0,21,31,8,23,24,7,17,30,3,27,31,4,27,32,5,27,24,3,21,23,5,18,19,1,18,27,7,20,31,2,29,19,5,14
RTF,FT,North East,Northumbria Healthcare,33,3,30,36,4,32,37,6,31,37,8,29,36,6,30,35,6,29,37,8,29,38,6,32,42,7,35,40,7,33,31,5,26,38,4,34,29,4,25
RX1,--,East Midlands,Nottingham University Hospitals,43,11,32,55,17,38,45,12,33,56,16,40,59,15,44,76,10,66,58,10,48,49,16,33,54,11,43,66,12,54,65,16,49,67,16,51,54,8,46
RTH,FT,South East,Oxford University Hospitals,36,7,29,38,8,30,45,7,38,49,11,38,37,8,29,35,4,31,56,8,48,37,10,27,39,7,32,42,5,37,37,5,32,38,4,34,40,9,31
RW6,--,North West,Pennine Acute Hospitals,36,5,31,33,7,26,29,6,23,44,2,42,43,2,41,43,6,37,58,7,51,52,4,48,42,5,37,49,7,42,37,3,34,40,2,38,37,2,35
RD3,FT,South West,Poole Hospital,11,0,11,18,3,15,32,4,28,24,2,22,21,3,18,22,3,19,23,1,22,20,3,17,15,1,14,21,2,19,13,1,12,23,4,19,15,3,12
RHU,--,South East,Portsmouth Hospitals,38,7,31,34,8,26,32,6,26,35,7,28,38,8,30,29,6,23,46,8,38,34,5,29,32,6,26,26,9,17,24,4,20,28,5,23,24,7,17
RPC,FT,South East,Queen Victoria Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHW,FT,South East,Royal Berkshire,27,2,25,21,8,13,27,4,23,28,5,23,31,4,27,37,4,33,26,4,22,38,7,31,25,3,22,26,5,21,32,4,28,22,6,16,25,5,20
RT3,FT,London,Royal Brompton & Harefield,0,0,0,1,1,0,1,1,0,3,2,1,6,5,1,1,1,0,1,1,0,1,1,0,3,3,0,1,1,0,3,2,1,2,2,0,2,0,2
REF,--,South West,Royal Cornwall Hospitals,20,5,15,23,2,21,29,4,25,34,3,31,29,3,26,41,5,36,30,2,28,33,3,30,32,5,27,30,6,24,24,3,21,33,1,32,39,6,33
RH8,FT,South West,Royal Devon & Exeter,10,3,7,23,8,15,22,3,19,27,3,24,25,1,24,32,4,28,24,4,20,32,4,28,30,4,26,22,1,21,31,5,26,32,3,29,25,3,22
RAL,FT,London,Royal Free London,38,6,32,47,9,38,41,8,33,43,12,31,29,4,25,43,5,38,46,5,41,47,8,39,39,6,33,36,5,31,51,4,47,42,7,35,38,5,33
RQ6,--,North West,Royal Liverpool & Broadgreen University Hospitals,23,3,20,28,7,21,29,6,23,30,8,22,30,3,27,26,9,17,28,2,26,35,7,28,26,7,19,18,3,15,34,9,25,20,4,16,26,7,19
RAN,--,London,Royal National Orthopaedic Hospital,1,1,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGM,FT,East of England,Royal Papworth Hospital,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,2,0,2,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0
RA2,FT,South East,Royal Surrey County Hospital,10,2,8,14,1,13,8,4,4,16,3,13,14,3,11,18,5,13,14,6,8,14,5,9,19,5,14,11,3,8,19,2,17,14,1,13,13,2,11
RD1,FT,South West,Royal United Hospitals Bath,22,3,19,22,5,17,36,8,28,34,3,31,34,6,28,37,12,25,27,4,23,33,6,27,33,4,29,31,4,27,24,2,22,38,4,34,33,4,29
RM3,FT,North West,Salford Royal,21,12,9,13,3,10,12,2,10,19,3,16,17,2,15,26,8,18,27,8,19,18,2,16,26,8,18,14,2,12,20,5,15,23,6,17,15,2,13
RNZ,FT,South West,Salisbury,10,6,4,9,1,8,4,1,3,4,0,4,7,1,6,8,3,5,4,2,2,7,0,7,14,3,11,13,1,12,9,2,7,9,1,8,4,1,3
RXK,--,West Midlands,Sandwell & West Birmingham Hospitals,19,3,16,17,1,16,29,4,25,24,5,19,15,3,12,16,3,13,17,3,14,20,1,19,21,2,19,19,2,17,21,16,5,18,3,15,17,4,13
RCU,FT,Yorkshire and Humber,Sheffield Children's,2,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,2,1,1,0,1,1,0,1,1,1,0,0,0,0,3,3,0,2,1,1
RHQ,FT,Yorkshire and Humber,Sheffield Teaching Hospitals,53,15,38,49,11,38,55,13,42,63,17,46,60,16,44,55,13,42,74,17,57,52,14,38,58,12,46,63,14,49,46,11,35,47,16,31,42,11,31
RK5,FT,East Midlands,Sherwood Forest Hospitals,20,6,14,30,2,28,18,2,16,28,2,26,36,3,33,39,3,36,29,2,27,20,4,16,21,2,19,26,4,22,23,2,21,30,4,26,26,4,22
RXW,--,West Midlands,Shrewsbury & Telford Hospital,27,5,22,25,2,23,20,4,16,21,3,18,27,6,21,37,6,31,31,4,27,29,3,26,48,8,40,31,8,23,34,4,30,22,1,21,36,3,33
RTR,FT,North East,South Tees Hospitals,38,9,29,46,12,34,47,15,32,42,14,28,51,10,41,49,12,37,44,8,36,47,13,34,46,10,36,43,7,36,58,12,46,41,11,30,41,7,34
RE9,FT,North East,South Tyneside,5,0,5,13,5,8,16,3,13,17,1,16,13,2,11,14,2,12,12,1,11,13,1,12,11,2,9,6,1,5,11,0,11,14,4,10,9,2,7
RJC,FT,West Midlands,South Warwickshire,13,2,11,13,1,12,14,3,11,12,5,7,20,2,18,29,9,20,7,1,6,16,1,15,24,6,18,15,3,12,21,1,20,16,1,15,10,2,8
RAJ,FT,East of England,Southend University Hospital,22,1,21,20,2,18,24,4,20,24,4,20,25,4,21,27,5,22,17,1,16,20,3,17,21,3,18,26,4,22,23,2,21,23,4,19,28,4,24
RVY,--,North West,Southport & Ormskirk Hospital,14,1,13,25,1,24,16,3,13,18,1,17,14,3,11,16,2,14,28,4,24,16,3,13,21,3,18,8,1,7,22,3,19,28,3,25,24,1,23
RJ7,FT,London,St. George's University Hospitals,20,5,15,12,5,7,16,1,15,27,9,18,19,6,13,26,4,22,16,3,13,12,4,8,25,2,23,21,4,17,14,3,11,19,1,18,18,4,14
RBN,--,North West,St. Helens and Knowsley Hospitals,32,3,29,33,5,28,31,3,28,22,5,17,22,2,20,32,8,24,36,6,30,35,5,30,31,5,26,34,6,28,31,7,24,17,4,13,26,8,18
RWJ,FT,North West,Stockport,14,2,12,20,5,15,15,1,14,16,3,13,12,1,11,23,3,20,17,1,16,10,4,6,22,3,19,20,4,16,21,7,14,23,6,17,17,2,15
RTP,--,South East,Surrey & Sussex Healthcare,21,3,18,26,5,21,33,4,29,35,1,34,27,6,21,18,2,16,40,7,33,25,5,20,36,7,29,37,7,30,31,5,26,33,6,27,20,3,17
RMP,FT,North West,Tameside Hospital,12,4,8,15,2,13,20,1,19,16,3,13,13,2,11,19,0,19,16,1,15,18,1,17,19,1,18,21,3,18,9,1,8,18,3,15,16,5,11
RBA,FT,South West,Taunton & Somerset,17,1,16,25,1,24,26,3,23,21,4,17,32,3,29,26,3,23,25,0,25,21,5,16,24,4,20,17,2,15,23,6,17,22,4,18,21,3,18
RBV,FT,North West,The Christie Hospital,4,2,2,5,2,3,5,2,3,11,0,11,13,6,7,7,2,5,5,4,1,6,3,3,7,3,4,9,1,8,9,3,6,5,2,3,7,3,4
REN,FT,North West,The Clatterbridge Cancer Centre,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2,2,0,5,2,3,3,0,3,0,0,0,0,0,0,0,0,0
RNA,FT,West Midlands,The Dudley Group,23,2,21,27,2,25,28,3,25,31,5,26,25,4,21,28,1,27,30,3,27,25,2,23,23,0,23,31,3,28,25,5,20,26,5,21,32,4,28
RAS,FT,London,The Hillingdon Hospitals,16,4,12,17,3,14,22,4,18,24,1,23,21,4,17,17,3,14,13,1,12,22,3,19,18,6,12,21,1,20,16,2,14,8,2,6,18,3,15
RTD,FT,North East,The Newcastle upon Tyne Hospitals,27,9,18,48,16,32,39,20,19,43,20,23,42,18,24,41,16,25,40,9,31,34,14,20,39,10,29,31,13,18,38,19,19,42,18,24,38,12,26
RQW,--,East of England,The Princess Alexandra Hospital,14,0,14,9,1,8,17,3,14,10,0,10,11,1,10,10,2,8,18,1,17,8,0,8,12,1,11,15,1,14,10,1,9,18,1,17,9,2,7
RCX,FT,East of England,The Queen Elizabeth Hospital King's Lynn,12,3,9,13,1,12,12,2,10,18,1,17,23,3,20,26,5,21,18,2,16,25,3,22,31,1,30,22,2,20,11,1,10,15,1,14,17,2,15
RL1,FT,West Midlands,The Robert Jones & Agnes Hunt Orthopaedic Hospital,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
RFR,FT,Yorkshire and Humber,The Rotherham,14,2,12,10,2,8,21,1,20,22,5,17,14,2,12,21,4,17,13,1,12,28,5,23,14,1,13,16,1,15,25,3,22,12,3,9,15,0,15
RDZ,FT,South West,The Royal Bournemouth & Christchurch Hospitals,29,9,20,24,4,20,13,3,10,22,6,16,24,7,17,31,7,24,33,6,27,41,7,34,26,2,24,27,4,23,34,2,32,32,6,26,27,4,23
RPY,FT,London,The Royal Marsden,8,5,3,6,6,0,3,3,0,7,3,4,8,6,2,4,2,2,11,3,8,5,4,1,3,2,1,13,6,7,11,5,6,5,3,2,1,1,0
RRJ,FT,West Midlands,The Royal Orthopaedic Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RL4,--,West Midlands,The Royal Wolverhampton,28,6,22,21,3,18,40,9,31,27,5,22,39,9,30,27,3,24,31,5,26,24,4,20,39,8,31,23,4,19,24,4,20,27,5,22,26,4,22
RET,FT,North West,The Walton Centre,3,2,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,3,2,1,0,0,0,1,1,0
RKE,--,London,The Whittington Health,9,1,8,8,1,7,9,2,7,8,1,7,17,1,16,6,0,6,14,2,12,10,1,9,14,0,14,10,2,8,13,1,12,14,0,14,9,1,8
RA9,FT,South West,Torbay and South Devon,14,2,12,29,2,27,15,0,15,27,1,26,26,3,23,25,4,21,24,3,21,18,1,17,21,1,20,25,5,20,15,1,14,23,2,21,14,1,13
RWD,--,East Midlands,United Lincolnshire Hospitals,30,4,26,31,4,27,34,4,30,37,3,34,38,6,32,32,6,26,28,6,22,48,5,43,38,5,33,31,3,28,35,2,33,23,2,21,29,3,26
RRV,FT,London,University College London Hospitals,21,8,13,20,6,14,31,11,20,25,5,20,29,7,22,31,9,22,26,6,20,29,9,20,25,10,15,30,12,18,29,7,22,32,11,21,19,7,12
RHM,FT,South East,University Hospital Southampton,20,2,18,28,9,19,15,6,9,37,6,31,29,6,23,27,7,20,18,3,15,16,1,15,27,5,22,23,3,20,25,5,20,21,7,14,23,10,13
RRK,FT,West Midlands,University Hospitals Birmingham,72,12,60,99,15,84,75,15,60,101,12,89,87,18,69,108,20,88,106,16,90,106,21,85,92,19,73,97,20,77,87,11,76,86,15,71,55,9,46
RA7,FT,South West,University Hospitals Bristol,15,7,8,21,4,17,21,9,12,28,8,20,24,7,17,22,7,15,31,8,23,35,12,23,28,8,20,19,1,18,24,7,17,31,5,26,30,5,25
RKB,--,West Midlands,University Hospitals Coventry & Warwickshire,35,13,22,30,7,23,33,10,23,24,6,18,30,11,19,32,3,29,36,5,31,29,4,25,29,8,21,24,8,16,28,4,24,24,6,18,24,4,20
RTG,FT,East Midlands,University Hospitals of Derby and Burton3,43,5,38,55,13,42,46,2,44,42,4,38,47,10,37,51,6,45,57,14,43,81,11,70,71,12,59,57,9,48,64,9,55,63,13,50,70,10,60
