Trust Code,Trust Type,PHE Centre,Trust Name,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18
RXC,--,South East,East Sussex Healthcare,33,32,32,39,41,35,29,32,30,28,17,29,26
RVR,--,London,Epsom & St Helier University Hospitals,18,18,23,23,29,15,22,20,24,25,28,20,21
RDU,FT,South East,Frimley Health,62,53,57,72,67,57,72,63,58,64,34,54,49
RR7,FT,North East,Gateshead Health,17,29,15,20,22,23,21,18,23,18,14,19,23
RLT,--,West Midlands,George Eliot Hospital,18,8,12,8,10,9,12,7,12,7,13,12,11
RTE,FT,South West,Gloucestershire Hospitals,27,15,20,17,24,16,27,28,25,23,18,18,17
RP4,FT,London,Great Ormond Street Hospital for Children,3,1,2,2,1,0,3,0,2,0,1,3,2
RN3,FT,South West,Great Western Hospitals,19,19,23,17,24,17,16,16,19,16,16,14,8
RJ1,FT,London,Guy's & St. Thomas',17,33,24,23,35,22,24,23,24,17,25,15,23
RN5,FT,South East,Hampshire Hospitals,20,10,23,21,25,23,24,21,27,16,15,18,20
RCD,FT,Yorkshire and Humber,Harrogate & District,10,12,13,16,18,15,11,3,7,15,14,12,13
RR1,FT,West Midlands,Heart of England,42,56,53,59,47,54,50,64,43,50,50,76,48
RQX,FT,London,Homerton University Hospital,13,10,9,10,10,9,16,6,12,4,7,8,13
RWA,--,Yorkshire and Humber,Hull & East Yorkshire Hospitals,29,31,43,33,43,42,33,37,36,41,36,26,35
RYJ,--,London,Imperial College Healthcare,36,25,34,28,34,32,40,32,33,22,23,20,22
RGQ,--,East of England,Ipswich Hospital,27,21,23,12,17,13,14,22,18,5,8,22,15
R1F,--,South East,Isle of Wight,9,10,11,8,12,19,7,13,16,6,13,8,5
RGP,FT,East of England,James Paget University Hospitals,19,23,20,11,18,16,27,24,12,22,19,12,17
RNQ,FT,East Midlands,Kettering General Hospital,23,20,20,23,28,22,15,15,15,28,32,24,25
RJZ,FT,London,King's College Hospital,40,41,39,34,41,35,30,41,28,35,33,39,56
RAX,FT,London,Kingston Hospital,14,14,13,13,22,10,14,8,9,9,10,12,12
RXN,FT,North West,Lancashire Teaching Hospitals,36,26,30,25,36,22,34,25,33,22,23,23,26
RR8,--,Yorkshire and Humber,Leeds Teaching Hospitals,56,48,45,50,58,51,52,62,54,41,53,52,47
RJ2,--,London,Lewisham & Greenwich,26,33,38,32,41,26,26,29,30,34,32,33,31
RBQ,FT,North West,Liverpool Heart & Chest Hospital,1,1,2,0,0,0,0,1,1,1,0,0,0
REP,FT,North West,Liverpool Women's,1,3,1,1,1,0,0,1,1,0,0,1,1
R1K,--,London,London North West Healthcare,39,30,49,43,50,52,48,32,40,41,49,50,54
RC9,FT,East of England,Luton & Dunstable University Hospital,13,12,22,13,23,13,20,15,24,12,14,22,20
RWF,--,South East,Maidstone & Tunbridge Wells,24,30,31,40,37,33,35,34,33,33,22,33,23
R0A,FT,North West,Manchester University1,32,40,40,43,41,48,44,36,38,46,40,35,38
RPA,FT,South East,Medway,23,19,32,26,25,22,27,19,21,23,23,21,24
RBT,FT,North West,Mid Cheshire Hospitals,19,31,16,24,18,18,15,16,9,16,12,21,17
RQ8,--,East of England,Mid Essex Hospital Services,16,17,18,21,22,19,18,20,19,16,22,9,18
RXF,--,Yorkshire and Humber,Mid Yorkshire Hospitals,35,29,32,42,29,44,40,37,28,30,23,37,32
RD8,FT,East of England,Milton Keynes University Hospital,21,13,12,27,21,23,11,14,15,13,12,13,26
RP6,FT,London,Moorfields Eye Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RM1,FT,East of England,Norfolk & Norwich University Hospitals,29,24,36,27,29,43,35,42,32,19,26,28,28
RVJ,--,South West,North Bristol,31,23,27,25,26,26,25,23,30,14,22,25,29
RNL,--,North West,North Cumbria University Hospitals,18,23,20,18,34,17,16,23,21,20,15,16,21
RAP,--,London,North Middlesex University Hospital,21,37,24,21,31,20,32,19,14,20,15,23,14
RVW,FT,North East,North Tees & Hartlepool,26,21,36,31,39,27,26,34,26,30,28,23,24
RGN,FT,East of England,North West Anglia 2,25,25,25,36,37,29,38,26,25,28,27,29,24
RNS,--,East Midlands,Northampton General Hospital,19,29,21,19,14,21,26,17,18,18,17,17,21
RBZ,--,South West,Northern Devon Healthcare,10,15,13,16,17,16,19,14,16,8,9,7,11
RJL,FT,Yorkshire and Humber,Northern Lincolnshire & Goole,28,25,28,27,22,26,26,20,16,22,25,21,31
RTF,FT,North East,Northumbria Healthcare,39,31,38,41,36,29,33,29,37,36,33,36,37
RX1,--,East Midlands,Nottingham University Hospitals,62,69,68,69,59,49,50,56,48,57,43,55,45
RTH,FT,South East,Oxford University Hospitals,45,42,33,50,55,56,61,45,34,46,36,38,44
RW6,--,North West,Pennine Acute Hospitals,45,25,33,43,39,40,44,35,37,38,36,33,29
RD3,FT,South West,Poole Hospital,17,16,16,29,23,25,19,13,18,17,11,18,33
RHU,--,South East,Portsmouth Hospitals,35,30,36,33,41,24,40,34,28,31,38,34,32
RPC,FT,South East,Queen Victoria Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RHW,FT,South East,Royal Berkshire,37,27,37,39,44,29,33,19,27,20,27,21,27
RT3,FT,London,Royal Brompton & Harefield,2,2,1,0,1,2,1,2,0,3,0,1,1
REF,--,South West,Royal Cornwall Hospitals,15,27,33,28,41,29,27,27,13,26,20,23,29
RH8,FT,South West,Royal Devon & Exeter,21,29,30,26,19,22,30,24,22,22,10,23,22
RAL,FT,London,Royal Free London,35,33,36,50,33,43,36,47,39,41,38,47,41
RQ6,--,North West,Royal Liverpool & Broadgreen University Hospitals,29,35,20,34,20,26,26,29,21,32,23,28,29
RAN,--,London,Royal National Orthopaedic Hospital,0,0,0,0,0,2,1,1,0,0,1,0,0
RGM,FT,East of England,Royal Papworth Hospital,0,1,0,2,0,1,2,2,2,1,0,0,1
RA2,FT,South East,Royal Surrey County Hospital,11,16,14,14,18,15,14,17,9,14,10,14,8
RD1,FT,South West,Royal United Hospitals Bath,19,18,36,20,30,27,25,24,28,24,22,22,34
RM3,FT,North West,Salford Royal,23,23,21,18,27,21,25,15,22,19,21,13,12
RNZ,FT,South West,Salisbury,9,9,10,8,9,9,9,12,8,7,10,9,4
RXK,--,West Midlands,Sandwell & West Birmingham Hospitals,16,16,14,25,18,22,16,17,16,23,19,17,29
RCU,FT,Yorkshire and Humber,Sheffield Children's,1,2,2,2,0,1,2,0,0,1,2,0,0
RHQ,FT,Yorkshire and Humber,Sheffield Teaching Hospitals,42,54,49,58,61,52,68,59,57,54,53,49,55
RK5,FT,East Midlands,Sherwood Forest Hospitals,20,26,22,29,29,33,31,28,23,23,20,30,18
RXW,--,West Midlands,Shrewsbury & Telford Hospital,25,19,22,25,31,30,29,31,16,26,27,25,20
RTR,FT,North East,South Tees Hospitals,44,39,40,39,45,40,52,44,41,32,38,46,47
RE9,FT,North East,South Tyneside,6,14,6,13,11,12,9,18,6,19,5,13,16
RJC,FT,West Midlands,South Warwickshire,24,17,13,21,14,17,14,18,16,14,13,13,14
RAJ,FT,East of England,Southend University Hospital,19,21,23,26,18,25,32,23,22,29,22,20,24
RVY,--,North West,Southport & Ormskirk Hospital,14,24,16,20,14,19,19,13,21,16,14,25,16
RJ7,FT,London,St. George's University Hospitals,25,11,22,30,31,21,21,10,18,21,20,12,16
RBN,--,North West,St. Helens and Knowsley Hospitals,18,26,38,32,29,35,36,29,22,23,32,33,31
RWJ,FT,North West,Stockport,19,19,21,21,20,22,17,18,30,21,14,20,15
RTP,--,South East,Surrey & Sussex Healthcare,28,30,37,50,31,23,27,32,32,27,21,26,33
RMP,FT,North West,Tameside Hospital,23,11,13,17,9,15,7,5,15,14,12,15,20
RBA,FT,South West,Taunton & Somerset,20,23,22,31,24,28,31,23,29,19,17,25,26
RBV,FT,North West,The Christie Hospital,7,3,9,8,10,7,10,8,9,4,4,5,5
REN,FT,North West,The Clatterbridge Cancer Centre,0,0,0,4,1,0,0,4,1,2,1,1,1
RNA,FT,West Midlands,The Dudley Group,16,27,31,24,15,19,26,19,18,24,23,27,28
RAS,FT,London,The Hillingdon Hospitals,16,32,15,17,20,14,14,11,9,13,16,17,22
RTD,FT,North East,The Newcastle upon Tyne Hospitals,31,38,36,30,48,29,35,35,39,35,26,48,39
RQW,--,East of England,The Princess Alexandra Hospital,13,10,13,11,25,13,15,20,19,15,14,9,17
RCX,FT,East of England,The Queen Elizabeth Hospital King's Lynn,18,18,20,17,17,18,19,29,18,14,12,13,12
RL1,FT,West Midlands,The Robert Jones & Agnes Hunt Orthopaedic Hospital,0,0,1,0,0,0,2,0,3,1,0,0,1
RFR,FT,Yorkshire and Humber,The Rotherham,17,15,14,24,14,15,13,20,10,12,14,10,21
RDZ,FT,South West,The Royal Bournemouth & Christchurch Hospitals,21,34,32,24,40,24,25,31,21,25,29,24,13
RPY,FT,London,The Royal Marsden,3,6,5,5,5,3,3,5,5,9,8,6,3
RRJ,FT,West Midlands,The Royal Orthopaedic Hospital,0,1,1,0,0,0,0,0,0,0,0,0,0
RL4,--,West Midlands,The Royal Wolverhampton,33,27,31,22,31,26,20,26,32,38,28,21,40
RET,FT,North West,The Walton Centre,0,3,1,1,0,2,1,1,0,0,3,0,2
RKE,--,London,The Whittington Health,13,14,11,13,4,11,12,16,9,11,9,8,9
RA9,FT,South West,Torbay and South Devon,17,17,25,25,22,19,16,16,18,18,14,29,15
RWD,--,East Midlands,United Lincolnshire Hospitals,33,31,31,35,25,23,37,32,31,33,30,28,34
RRV,FT,London,University College London Hospitals,18,26,28,22,26,30,24,24,23,26,20,20,31
RHM,FT,South East,University Hospital Southampton,28,22,14,37,25,27,30,29,25,30,20,28,14
RRK,FT,West Midlands,University Hospitals Birmingham,37,30,30,26,38,30,34,26,11,30,22,23,27
RA7,FT,South West,University Hospitals Bristol,23,25,16,24,20,22,16,19,15,19,15,21,21
RKB,--,West Midlands,University Hospitals Coventry & Warwickshire,22,41,28,24,24,30,22,32,35,24,35,30,33
RWE,--,East Midlands,University Hospitals of Leicester,47,45,54,52,42,48,45,48,44,50,34,41,49
RTX,FT,North West,University Hospitals of Morecambe Bay,27,23,30,33,28,27,17,21,24,27,22,30,16
RJE,--,West Midlands,University Hospitals of North Midlands,39,44,54,55,47,64,62,49,41,41,50,46,50
RK9,--,South West,University Hospitals Plymouth,24,32,25,26,32,33,45,22,25,34,25,30,32
RBK,--,West Midlands,Walsall Healthcare,13,12,15,14,13,12,10,12,11,7,18,14,10
RWW,FT,North West,Warrington & Halton Hospitals,21,16,18,24,16,21,19,17,12,11,14,15,17
RWG,--,East of England,West Hertfordshire Hospitals,18,14,26,28,24,24,16,23,26,16,30,27,22
RGR,FT,East of England,West Suffolk,12,11,16,15,11,17,13,19,16,9,11,10,15
RYR,FT,South East,Western Sussex Hospitals,30,28,27,39,47,31,38,36,25,35,29,33,32
RA3,--,South West,Weston Area Health,15,6,11,9,8,14,5,8,13,5,5,8,11
RBL,FT,North West,Wirral University Teaching Hospital,18,21,20,32,26,30,30,26,25,29,17,18,20
RWP,--,West Midlands,Worcestershire Acute Hospitals,30,31,44,41,35,40,31,26,26,23,16,22,28
RRF,FT,North West,"Wrightington, Wigan & Leigh",16,20,6,6,9,19,20,10,6,13,6,5,13
RLQ,--,West Midlands,Wye Valley,7,13,13,15,10,10,12,8,6,9,7,11,8
RA4,FT,South West,Yeovil District Hospital,15,13,22,17,17,12,12,17,13,13,13,13,13
RCB,FT,Yorkshire and Humber,York Teaching Hospital,49,44,43,37,50,42,50,49,51,44,36,39,49
