Trust Code,Trust Type,PHE Centre,Trust Name,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17
RBT,FT,North West,Mid Cheshire Hospitals,17,20,10,9,17,11,15,20,19,31,16,24,18
RQ8,--,East of England,Mid Essex Hospital Services,24,16,17,15,14,16,21,17,16,17,18,21,22
RXF,--,Yorkshire and Humber,Mid Yorkshire Hospitals,29,31,42,32,34,35,23,32,35,29,32,42,29
RD8,FT,East of England,Milton Keynes University Hospital,21,14,21,20,15,15,21,18,21,13,12,27,21
RP6,FT,London,Moorfields Eye Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RM1,FT,East of England,Norfolk & Norwich University Hospitals,41,24,34,33,29,26,23,36,29,24,36,27,29
RVJ,--,South West,North Bristol,25,21,13,20,26,28,21,17,31,23,27,25,26
RNL,--,North West,North Cumbria University Hospitals,19,17,25,16,16,15,21,22,18,23,20,18,34
RAP,--,London,North Middlesex University Hospital,12,17,21,19,17,19,22,20,21,37,24,21,31
RVW,FT,North East,North Tees & Hartlepool,28,30,25,36,22,26,30,33,26,21,36,31,39
RGN,FT,East of England,North West Anglia,33,19,27,34,39,34,26,26,25,25,25,36,37
RNS,--,East Midlands,Northampton General Hospital,22,25,21,17,24,18,27,22,19,29,21,19,14
RBZ,--,South West,Northern Devon Healthcare,17,11,11,11,13,13,16,11,10,15,13,16,17
RJL,FT,Yorkshire and Humber,Northern Lincolnshire & Goole,35,20,20,27,13,26,36,24,28,25,28,27,22
RTF,FT,North East,Northumbria Healthcare,40,29,51,28,26,35,36,32,39,31,38,39,35
RX1,--,East Midlands,Nottingham University Hospitals,84,74,69,65,70,68,71,64,62,69,68,69,59
RTH,FT,South East,Oxford University Hospitals,35,45,51,37,46,47,30,41,45,42,33,50,55
RGM,FT,East of England,Papworth Hospital,2,0,2,2,0,0,0,3,0,1,0,2,0
RW6,--,North West,Pennine Acute Hospitals,47,46,37,39,52,29,33,47,45,25,33,43,39
RK9,--,South West,Plymouth Hospitals,28,28,37,31,35,27,24,29,24,32,25,26,32
RD3,FT,South West,Poole Hospital,14,21,19,21,20,7,18,17,17,16,16,29,22
RHU,--,South East,Portsmouth Hospitals,32,42,27,31,31,26,33,28,35,30,36,33,41
RPC,FT,South East,Queen Victoria Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RHW,FT,South East,Royal Berkshire,22,24,27,17,23,20,25,22,37,27,37,39,44
RT3,FT,London,Royal Brompton & Harefield,0,2,2,0,0,0,0,1,2,2,1,0,1
REF,--,South West,Royal Cornwall Hospitals,17,23,29,24,25,32,17,28,15,27,33,28,41
RH8,FT,South West,Royal Devon & Exeter,26,23,20,31,18,26,14,19,21,29,30,26,19
RAL,FT,London,Royal Free London,46,37,59,27,38,29,34,37,35,33,36,50,33
RQ6,--,North West,Royal Liverpool & Broadgreen University Hospitals,19,32,34,35,30,29,33,32,29,35,20,34,20
RAN,--,London,Royal National Orthopaedic Hospital,0,0,0,0,0,0,0,1,0,0,0,0,0
RA2,FT,South East,Royal Surrey County Hospital,20,14,16,12,9,16,8,17,11,16,14,14,18
RD1,FT,South West,Royal United Hospitals Bath,23,33,19,30,32,31,17,25,19,18,35,20,30
RM3,FT,North West,Salford Royal,20,24,15,15,25,22,14,20,23,23,21,18,27
RNZ,FT,South West,Salisbury,8,12,14,14,11,6,12,7,9,9,10,8,9
RXK,--,West Midlands,Sandwell & West Birmingham Hospitals,17,18,22,23,15,18,11,20,16,16,14,25,18
RCU,FT,Yorkshire and Humber,Sheffield Children's,3,0,2,1,0,1,1,2,1,2,2,2,0
RHQ,FT,Yorkshire and Humber,Sheffield Teaching Hospitals,49,68,43,59,55,56,61,50,42,54,49,58,61
RK5,FT,East Midlands,Sherwood Forest Hospitals,31,20,26,31,28,30,20,36,20,26,22,29,29
RXW,--,West Midlands,Shrewsbury & Telford Hospital,45,27,31,30,22,27,25,25,25,19,22,25,31
RTR,FT,North East,South Tees Hospitals,43,36,40,35,33,30,34,35,44,39,40,39,45
RE9,FT,North East,South Tyneside,10,11,6,15,14,12,8,14,6,14,6,13,11
RJC,FT,West Midlands,South Warwickshire,12,10,14,23,18,10,9,11,24,17,13,21,14
RAJ,FT,East of England,Southend University Hospital,21,28,36,22,28,17,19,17,19,21,23,26,18
RVY,--,North West,Southport & Ormskirk Hospital,21,12,22,13,10,17,13,12,14,24,16,20,14
RJ7,FT,London,St. George's University Hospitals,20,21,15,27,11,24,27,32,25,12,23,30,31
RBN,--,North West,St. Helens and Knowsley Hospitals,33,22,28,27,28,29,27,23,18,26,38,32,29
RWJ,FT,North West,Stockport,22,26,23,28,15,19,17,12,19,19,21,21,20
RTP,--,South East,Surrey & Sussex Healthcare,23,25,32,25,26,24,16,29,28,30,37,50,30
RMP,FT,North West,Tameside Hospital,19,19,15,10,16,10,12,12,23,11,13,17,9
RBA,FT,South West,Taunton & Somerset,26,26,20,22,27,20,14,21,20,23,22,31,24
RBV,FT,North West,The Christie Hospital,1,5,8,3,9,4,4,9,7,3,9,8,10
REN,FT,North West,The Clatterbridge Cancer Centre,1,0,0,0,0,0,0,0,0,0,0,4,1
RNA,FT,West Midlands,The Dudley Group,28,29,26,20,26,24,21,25,16,27,31,24,15
RAS,FT,London,The Hillingdon Hospitals,17,17,20,14,14,16,19,18,16,32,15,17,20
RTD,FT,North East,The Newcastle upon Tyne Hospitals,27,36,28,36,41,32,37,33,31,37,36,30,48
RQW,--,East of England,The Princess Alexandra Hospital,26,14,13,10,12,14,18,18,13,10,13,11,25
RCX,FT,East of England,The Queen Elizabeth Hospital King's Lynn,16,21,20,15,22,20,17,21,18,18,20,17,17
RL1,FT,West Midlands,The Robert Jones & Agnes Hunt Orthopaedic Hospital,0,2,0,0,1,1,0,0,0,0,1,0,0
RFR,FT,Yorkshire and Humber,The Rotherham,20,17,18,20,16,19,17,13,17,15,14,24,14
RDZ,FT,South West,The Royal Bournemouth & Christchurch Hospitals,35,33,30,23,23,23,22,30,21,34,32,24,40
RPY,FT,London,The Royal Marsden,3,5,5,4,5,1,2,7,3,6,5,5,5
RRJ,FT,West Midlands,The Royal Orthopaedic Hospital,0,0,0,0,0,0,1,0,0,1,1,0,0
RL4,--,West Midlands,The Royal Wolverhampton,33,25,28,24,24,21,24,28,33,27,31,22,31
RET,FT,North West,The Walton Centre,2,1,0,0,1,0,2,3,0,3,1,1,0
RKE,--,London,The Whittington Hospital,15,14,12,13,20,9,14,7,13,14,11,13,4
RA9,FT,South West,Torbay and South Devon,26,19,16,23,24,16,18,17,17,18,25,25,22
RWD,--,East Midlands,United Lincolnshire Hospitals,31,31,42,34,30,27,34,31,33,30,31,35,25
RRV,FT,London,University College London Hospitals,24,27,26,25,26,21,17,21,18,26,28,22,23
RM2,FT,North West,University Hospital of South Manchester,24,23,19,13,13,19,12,17,17,22,18,19,21
RHM,FT,South East,University Hospital Southampton,23,17,23,33,23,25,24,26,28,22,14,37,25
RRK,FT,West Midlands,University Hospitals Birmingham,32,30,21,34,22,31,29,29,37,30,30,26,38
RA7,FT,South West,University Hospitals Bristol,18,19,19,20,16,17,21,24,23,25,16,24,20
RKB,--,West Midlands,University Hospitals Coventry & Warwickshire,29,36,33,31,32,21,22,25,22,41,28,24,24
RWE,--,East Midlands,University Hospitals of Leicester,63,65,56,44,48,49,53,53,47,45,54,52,42
RTX,FT,North West,University Hospitals of Morecambe Bay,31,18,22,16,21,18,13,20,27,23,30,33,28
RJE,--,West Midlands,University Hospitals of North Midlands,57,55,55,55,48,61,39,61,39,44,54,55,47
RBK,--,West Midlands,Walsall Healthcare,14,8,12,6,13,9,9,13,13,12,15,14,13
RWW,FT,North West,Warrington & Halton Hospitals,22,13,16,21,16,16,12,17,21,16,18,24,16
RWG,--,East of England,West Hertfordshire Hospitals,15,17,15,19,21,20,18,18,18,14,26,28,24
RGR,FT,East of England,West Suffolk,21,26,15,16,16,19,9,15,12,11,16,15,11
RYR,FT,South East,Western Sussex Hospitals,37,44,39,28,26,35,33,40,30,28,27,39,47
RA3,--,South West,Weston Area Health,14,11,12,11,9,15,8,9,15,4,8,9,8
RBL,FT,North West,Wirral University Teaching Hospital,27,20,20,27,21,10,20,20,18,21,20,32,26
RWP,--,West Midlands,Worcestershire Acute Hospitals,35,27,39,34,29,25,26,36,30,31,44,41,35
RRF,FT,North West,"Wrightington, Wigan & Leigh",13,12,17,15,14,15,12,12,16,20,6,6,9
RLQ,--,West Midlands,Wye Valley,14,6,6,5,9,10,3,11,7,12,13,15,10
RA4,FT,South West,Yeovil District Hospital,16,23,16,18,12,15,6,14,15,13,22,17,17
RCB,FT,Yorkshire and Humber,York Teaching Hospital,50,48,38,50,33,42,46,42,49,44,43,37,50
