Trust Code,Trust Type,PHE Centre,Trust Name,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17
RVJ,--,South West,North Bristol,24,25,21,13,20,26,28,21,17,31,23,27,25
RNL,--,North West,North Cumbria University Hospitals,24,19,17,25,16,16,15,21,22,18,23,20,18
RAP,--,London,North Middlesex University Hospital,13,12,17,21,19,17,19,22,20,21,37,24,21
RVW,FT,North East,North Tees & Hartlepool,22,28,30,25,36,22,26,30,33,26,21,36,31
RGN,FT,East Of England,North West Anglia1,28,33,19,27,34,39,34,26,26,25,25,25,36
RNS,--,East Midlands,Northampton General Hospital,23,22,25,21,17,24,18,27,22,19,29,21,19
RBZ,--,South West,Northern Devon Healthcare,12,17,11,11,11,13,13,16,11,10,15,13,16
RJL,FT,Yorkshire And Humber,Northern Lincolnshire & Goole,31,35,20,20,27,13,26,36,24,28,25,28,27
RTF,FT,North East,Northumbria Healthcare,40,40,29,51,28,26,35,36,32,39,31,38,39
RX1,--,East Midlands,Nottingham University Hospitals,58,84,74,69,65,70,67,71,64,62,69,68,69
RTH,FT,South East,Oxford University Hospitals,53,35,45,51,37,46,47,30,41,45,42,33,50
RGM,FT,East Of England,Papworth Hospital,2,2,0,2,2,0,0,0,3,0,1,0,2
RW6,--,North West,Pennine Acute Hospitals,44,47,46,37,39,52,29,33,47,45,25,33,43
RK9,--,South West,Plymouth Hospitals,40,28,28,37,31,35,27,24,29,24,32,25,26
RD3,FT,South West,Poole Hospital,16,14,21,19,21,20,7,18,17,17,16,16,29
RHU,--,South East,Portsmouth Hospitals,41,32,42,27,31,31,26,33,28,35,30,36,33
RPC,FT,South East,Queen Victoria Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RHW,FT,South East,Royal Berkshire,31,22,24,27,17,23,20,25,22,37,27,37,39
RT3,FT,London,Royal Brompton & Harefield,1,0,2,2,0,0,0,0,1,2,2,1,0
REF,--,South West,Royal Cornwall Hospitals,22,17,23,29,24,25,32,17,28,15,27,33,28
RH8,FT,South West,Royal Devon & Exeter,19,26,23,20,31,18,26,14,19,21,29,30,26
RAL,FT,London,Royal Free London,37,46,37,59,27,38,29,34,37,35,33,36,50
RQ6,--,North West,Royal Liverpool & Broadgreen University Hospitals,25,19,32,34,35,30,29,33,32,29,35,20,34
RAN,--,London,Royal National Orthopaedic Hospital,2,0,0,0,0,0,0,0,1,0,0,0,0
RA2,FT,South East,Royal Surrey County Hospital,20,20,14,16,12,9,16,8,17,11,16,14,14
RD1,FT,South West,Royal United Hospitals Bath,24,23,33,19,30,32,31,17,25,19,18,35,20
RM3,FT,North West,Salford Royal,18,20,24,15,15,25,22,14,20,23,23,21,18
RNZ,FT,South West,Salisbury,13,8,12,14,14,11,6,12,7,9,9,10,8
RXK,--,West Midlands,Sandwell & West Birmingham Hospitals,22,17,18,22,23,15,18,11,20,16,16,14,18
RCU,FT,Yorkshire And Humber,Sheffield Children's,1,3,0,2,1,0,1,1,2,1,2,2,2
RHQ,FT,Yorkshire And Humber,Sheffield Teaching Hospitals,60,49,68,43,59,55,56,61,50,42,54,49,58
RK5,FT,East Midlands,Sherwood Forest Hospitals,33,31,20,26,31,28,30,20,36,20,26,22,29
RXW,--,West Midlands,Shrewsbury & Telford Hospital,27,45,27,31,30,22,27,25,25,25,19,22,25
RTR,FT,North East,South Tees Hospitals,39,43,36,40,35,33,30,34,35,44,39,40,39
RE9,FT,North East,South Tyneside,10,10,11,6,15,14,12,8,14,6,14,6,13
RJC,FT,West Midlands,South Warwickshire,16,12,10,14,23,18,10,9,11,24,17,13,21
RAJ,FT,East Of England,Southend University Hospital,21,21,28,36,22,28,17,19,17,19,21,23,26
RVY,--,North West,Southport & Ormskirk Hospital,26,21,12,22,13,10,17,13,12,14,24,16,20
RJ7,FT,London,St. George's University Hospitals,22,20,21,15,27,11,24,27,32,25,12,23,30
RBN,--,North West,St. Helens & Knowsley Hospitals,38,33,22,28,27,28,29,27,23,18,26,38,32
RWJ,FT,North West,Stockport,22,22,26,23,28,15,19,17,12,19,19,21,21
RTP,--,South East,Surrey & Sussex Healthcare,34,23,25,32,25,26,24,16,29,28,30,37,49
RMP,FT,North West,Tameside Hospital,17,19,19,15,10,16,10,12,12,23,11,13,17
RBA,FT,South West,Taunton & Somerset,22,26,26,20,22,27,20,14,21,20,23,22,31
RBV,FT,North West,The Christie Hospital,3,1,5,8,3,9,4,4,9,7,3,9,8
REN,FT,North West,The Clatterbridge Cancer Centre,0,1,0,0,0,0,0,0,0,0,0,0,4
RNA,FT,West Midlands,The Dudley Group,22,28,29,26,20,26,24,21,25,16,27,31,24
RAS,FT,London,The Hillingdon Hospitals,15,17,17,20,14,14,16,19,18,16,31,15,17
RTD,FT,North East,The Newcastle upon Tyne Hospitals,28,27,36,28,36,41,32,37,33,31,37,36,30
RQW,--,East Of England,The Princess Alexandra Hospital,9,26,14,13,10,12,14,18,18,13,10,13,11
RCX,FT,East Of England,The Queen Elizabeth Hospital King's Lynn,24,16,21,20,15,22,20,17,21,18,18,20,17
RL1,FT,West Midlands,The Robert Jones & Agnes Hunt Orthopaedic Hospital,0,0,2,0,0,1,1,0,0,0,0,1,0
RFR,FT,Yorkshire And Humber,The Rotherham,20,20,17,18,20,16,19,17,13,17,15,14,24
RDZ,FT,South West,The Royal Bournemouth & Christchurch Hospitals,45,35,33,30,23,23,23,22,30,21,34,32,24
RPY,FT,London,The Royal Marsden,5,3,5,5,4,5,1,2,7,3,6,5,5
RRJ,FT,West Midlands,The Royal Orthopaedic Hospital,0,0,0,0,0,0,0,1,0,0,1,1,0
RL4,--,West Midlands,The Royal Wolverhampton,33,33,25,28,24,24,21,24,28,33,27,31,22
RET,FT,North West,The Walton Centre,4,2,1,0,0,1,0,2,3,0,3,1,1
RKE,--,London,The Whittington Hospital,12,15,14,12,13,20,9,14,7,13,14,11,13
RA9,FT,South West,Torbay and South Devon Healthcare,30,26,19,16,23,24,16,17,17,17,18,25,25
RWD,--,East Midlands,United Lincolnshire Hospitals,31,31,31,42,34,30,27,34,31,33,30,31,35
RRV,FT,London,University College London Hospitals,30,24,27,26,25,26,21,17,21,18,26,28,22
RM2,FT,North West,University Hospital of South Manchester,27,24,23,19,13,13,19,12,17,17,22,18,0
RHM,FT,South East,University Hospital Southampton,26,23,17,23,33,23,25,24,26,28,22,14,37
RRK,FT,West Midlands,University Hospitals Birmingham,44,32,30,21,34,22,31,29,29,37,30,30,26
RA7,FT,South West,University Hospitals Bristol,19,18,19,19,20,16,17,21,24,23,25,16,24
RKB,--,West Midlands,University Hospitals Coventry & Warwickshire,29,29,36,33,31,32,21,22,25,22,41,28,24
RWE,--,East Midlands,University Hospitals of Leicester,39,62,64,56,44,48,49,53,53,47,45,54,52
RTX,FT,North West,University Hospitals of Morecambe Bay,19,31,18,22,16,21,18,13,20,27,23,30,33
RJE,--,West Midlands,University Hospitals of North Midlands,58,57,55,55,55,48,61,39,61,39,44,54,55
RBK,--,West Midlands,Walsall Healthcare,10,14,8,12,6,13,9,9,13,13,12,15,14
RWW,FT,North West,Warrington & Halton Hospitals,11,22,13,16,21,16,16,12,17,21,16,18,24
RWG,--,East Of England,West Hertfordshire Hospitals,24,15,17,15,19,21,20,18,18,18,14,26,28
RGR,FT,East Of England,West Suffolk,15,21,26,15,16,16,19,9,15,12,11,16,15
RYR,FT,South East,Western Sussex Hospitals,36,37,44,39,28,26,35,33,40,30,28,27,39
RA3,--,South West,Weston Area Health,10,14,11,12,11,9,14,7,8,15,4,8,9
RBL,FT,North West,Wirral University Teaching Hospital,22,27,20,20,27,21,10,20,20,18,21,20,32
RWP,--,West Midlands,Worcestershire Acute Hospitals,25,35,27,39,34,29,25,26,36,30,31,44,41
RRF,FT,North West,"Wrightington, Wigan & Leigh",12,13,12,17,15,14,15,12,12,16,20,6,6
RLQ,--,West Midlands,Wye Valley,12,14,6,6,5,9,10,3,11,7,12,13,15
RA4,FT,South West,Yeovil District Hospital,17,16,23,16,18,12,15,6,14,15,13,22,17
RCB,FT,Yorkshire And Humber,York Teaching Hospital,60,50,48,38,50,33,42,46,42,49,44,43,37
