Trust Code,Trust Type,PHE Centre,Trust Name,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18
RP4,FT,London,Great Ormond Street Hospital for Children,0,3,0,2,0,1,3,2,2,2,0,2,2
RN3,FT,South West,Great Western Hospitals,17,16,16,19,16,16,14,8,18,22,14,20,29
RJ1,FT,London,Guy's & St. Thomas',22,24,23,24,17,25,15,23,28,27,16,30,25
RN5,FT,South East,Hampshire Hospitals,23,24,21,27,16,15,18,20,23,26,25,33,18
RCD,FT,Yorkshire and Humber,Harrogate & District,15,11,3,7,15,14,12,13,15,13,10,15,11
RR1,FT,West Midlands,Heart of England,54,50,64,43,50,50,76,48,70,66,72,71,66
RQX,FT,London,Homerton University Hospital,9,16,6,12,4,7,8,13,11,7,18,16,9
RWA,--,Yorkshire and Humber,Hull & East Yorkshire Hospitals,42,33,37,36,41,36,26,35,34,39,52,40,41
RYJ,--,London,Imperial College Healthcare,32,40,32,33,22,23,20,22,35,27,35,31,40
RGQ,--,East of England,Ipswich Hospital,13,14,22,18,5,8,22,15,16,23,23,21,13
R1F,--,South East,Isle of Wight,19,7,13,16,6,13,8,5,8,12,19,13,15
RGP,FT,East of England,James Paget University Hospitals,16,27,24,12,22,19,12,17,17,19,21,22,17
RNQ,FT,East Midlands,Kettering General Hospital,22,15,15,15,28,32,24,25,15,15,25,22,23
RJZ,FT,London,King's College Hospital,35,30,41,28,35,33,39,56,46,45,45,49,39
RAX,FT,London,Kingston Hospital,10,14,8,9,9,10,12,12,13,18,10,13,14
RXN,FT,North West,Lancashire Teaching Hospitals,22,34,25,33,22,23,23,26,28,31,33,30,34
RR8,--,Yorkshire and Humber,Leeds Teaching Hospitals,51,52,62,54,41,53,52,47,70,49,58,74,55
RJ2,--,London,Lewisham & Greenwich,26,25,29,30,34,32,33,31,43,42,30,38,29
RBQ,FT,North West,Liverpool Heart & Chest Hospital,0,0,1,1,1,0,0,0,0,0,1,2,2
REP,FT,North West,Liverpool Women's,0,0,1,1,0,0,1,1,3,1,1,1,1
R1K,--,London,London North West University Healthcare,52,48,32,40,41,49,50,54,45,47,39,59,46
RC9,FT,East of England,Luton & Dunstable University Hospital,13,20,15,24,12,14,22,20,21,25,19,23,16
RWF,--,South East,Maidstone & Tunbridge Wells,33,35,34,33,33,22,34,23,30,27,37,38,32
R0A,FT,North West,Manchester University1,48,44,36,38,46,40,35,38,48,61,54,60,62
RPA,FT,South East,Medway,22,27,19,21,23,23,21,24,27,40,25,23,24
RBT,FT,North West,Mid Cheshire Hospitals,18,15,16,9,16,12,21,17,10,9,14,19,15
RQ8,--,East of England,Mid Essex Hospital Services,19,18,20,19,16,22,9,18,23,21,21,20,20
RXF,--,Yorkshire and Humber,Mid Yorkshire Hospitals,44,40,37,28,30,23,37,32,46,38,35,36,45
RD8,FT,East of England,Milton Keynes University Hospital,23,11,14,15,13,12,13,26,15,32,20,22,19
RP6,FT,London,Moorfields Eye Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RM1,FT,East of England,Norfolk & Norwich University Hospitals,43,35,42,32,19,26,28,28,23,37,40,28,37
RVJ,--,South West,North Bristol,26,25,23,30,14,22,25,29,24,29,25,34,23
RNL,--,North West,North Cumbria University Hospitals,17,16,23,21,20,15,16,21,18,26,23,29,28
RAP,--,London,North Middlesex University Hospital,20,32,19,14,20,15,23,14,20,21,26,26,21
RVW,FT,North East,North Tees & Hartlepool,27,26,34,26,30,28,23,24,30,31,35,28,35
RGN,FT,East of England,North West Anglia,29,38,26,25,28,27,29,24,34,34,27,37,25
RNS,--,East Midlands,Northampton General Hospital,21,26,17,18,18,17,17,21,23,23,26,22,21
RBZ,--,South West,Northern Devon Healthcare,16,19,14,16,8,9,7,11,16,10,19,14,15
RJL,FT,Yorkshire and Humber,Northern Lincolnshire & Goole,26,26,20,16,22,25,21,31,24,30,31,32,24
RTF,FT,North East,Northumbria Healthcare,29,33,29,37,36,33,36,37,37,36,35,37,38
RX1,--,East Midlands,Nottingham University Hospitals,49,50,56,48,57,43,55,45,56,59,76,58,49
RTH,FT,South East,Oxford University Hospitals,57,61,46,34,46,36,38,44,49,37,35,56,37
RW6,--,North West,Pennine Acute Hospitals,40,44,35,37,38,36,33,29,44,43,43,58,52
RD3,FT,South West,Poole Hospital,25,19,13,18,17,11,18,33,23,20,21,23,20
RHU,--,South East,Portsmouth Hospitals,24,40,34,28,31,38,34,32,35,38,29,46,34
RPC,FT,South East,Queen Victoria Hospital,0,0,0,0,0,0,0,0,0,0,0,0,1
RHW,FT,South East,Royal Berkshire,29,33,19,27,20,27,21,27,28,31,37,26,38
RT3,FT,London,Royal Brompton & Harefield,2,1,2,0,3,0,1,1,3,6,1,1,1
REF,--,South West,Royal Cornwall Hospitals,29,27,27,13,26,20,23,29,34,29,41,30,33
RH8,FT,South West,Royal Devon & Exeter,22,30,24,22,22,10,23,22,27,25,32,24,32
RAL,FT,London,Royal Free London,43,36,47,39,41,38,47,41,43,29,43,46,47
RQ6,--,North West,Royal Liverpool & Broadgreen University Hospitals,26,26,29,21,32,23,28,29,30,30,26,28,35
RAN,--,London,Royal National Orthopaedic Hospital,2,1,1,0,0,1,0,0,2,1,0,1,0
RGM,FT,East of England,Royal Papworth Hospital,1,2,2,2,1,0,0,1,0,1,0,1,2
RA2,FT,South East,Royal Surrey County Hospital,15,14,17,9,14,10,14,8,16,14,18,14,14
RD1,FT,South West,Royal United Hospitals Bath,27,25,24,28,24,22,22,36,34,34,37,27,33
RM3,FT,North West,Salford Royal,21,25,15,22,19,21,13,12,19,17,26,27,18
RNZ,FT,South West,Salisbury,9,9,12,8,7,10,9,4,4,7,8,4,7
RXK,--,West Midlands,Sandwell & West Birmingham Hospitals,22,16,17,16,23,19,17,29,24,15,16,17,20
RCU,FT,Yorkshire and Humber,Sheffield Children's,1,2,0,0,1,2,0,0,1,1,0,3,1
RHQ,FT,Yorkshire and Humber,Sheffield Teaching Hospitals,52,68,59,57,54,53,49,55,63,60,55,74,52
RK5,FT,East Midlands,Sherwood Forest Hospitals,33,31,28,23,23,20,30,18,28,36,39,29,20
RXW,--,West Midlands,Shrewsbury & Telford Hospital,30,29,31,16,26,27,25,20,21,27,37,31,29
RTR,FT,North East,South Tees Hospitals,40,52,44,41,32,38,46,47,42,51,49,44,47
RE9,FT,North East,South Tyneside,12,9,18,6,19,5,13,16,17,13,14,12,13
RJC,FT,West Midlands,South Warwickshire,17,14,18,16,14,13,13,14,12,20,29,7,16
RAJ,FT,East of England,Southend University Hospital,25,32,23,22,29,22,20,24,24,25,27,17,20
RVY,--,North West,Southport & Ormskirk Hospital,19,21,13,21,16,14,25,16,18,14,16,28,16
RJ7,FT,London,St. George's University Hospitals,21,21,10,18,21,20,12,16,27,19,26,16,12
RBN,--,North West,St. Helens and Knowsley Hospitals,35,36,29,22,23,32,33,31,22,22,32,36,35
RWJ,FT,North West,Stockport,22,17,18,30,21,14,20,15,16,12,23,17,10
RTP,--,South East,Surrey & Sussex Healthcare,23,27,32,32,27,21,26,33,35,27,18,40,25
RMP,FT,North West,Tameside Hospital,15,7,5,15,14,12,15,20,16,13,19,16,18
RBA,FT,South West,Taunton & Somerset,28,31,23,29,19,17,25,26,21,32,26,25,21
RBV,FT,North West,The Christie Hospital,7,10,8,9,4,4,5,5,11,13,7,5,6
REN,FT,North West,The Clatterbridge Cancer Centre,0,0,4,1,2,1,1,1,0,1,0,1,2
RNA,FT,West Midlands,The Dudley Group,19,26,19,18,24,23,27,28,31,25,28,30,25
RAS,FT,London,The Hillingdon Hospitals,14,14,11,9,13,16,17,22,24,21,17,13,22
RTD,FT,North East,The Newcastle upon Tyne Hospitals,29,35,35,39,35,27,48,39,43,42,41,40,34
RQW,--,East of England,The Princess Alexandra Hospital,13,15,20,19,15,14,9,17,10,11,10,18,8
RCX,FT,East of England,The Queen Elizabeth Hospital King's Lynn,18,19,29,18,14,12,13,12,18,23,26,18,25
RL1,FT,West Midlands,The Robert Jones & Agnes Hunt Orthopaedic Hospital,0,2,0,3,1,0,0,1,1,0,1,0,0
RFR,FT,Yorkshire and Humber,The Rotherham,15,13,20,10,12,14,10,21,22,14,21,13,28
RDZ,FT,South West,The Royal Bournemouth & Christchurch Hospitals,24,25,31,21,25,29,24,13,22,24,31,33,41
RPY,FT,London,The Royal Marsden,3,3,5,5,9,8,6,3,7,8,4,11,5
RRJ,FT,West Midlands,The Royal Orthopaedic Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RL4,--,West Midlands,The Royal Wolverhampton,26,20,26,32,38,28,21,40,27,39,27,31,24
RET,FT,North West,The Walton Centre,2,1,1,0,0,3,0,2,1,0,0,0,1
RKE,--,London,The Whittington Health,11,12,16,9,11,9,8,9,8,17,6,14,10
RA9,FT,South West,Torbay and South Devon,19,16,16,18,18,14,29,15,27,26,25,24,18
RWD,--,East Midlands,United Lincolnshire Hospitals,23,37,32,31,33,30,28,34,37,38,31,27,48
RRV,FT,London,University College London Hospitals,30,24,24,23,26,21,20,31,24,29,31,26,29
RHM,FT,South East,University Hospital Southampton,27,30,29,25,30,20,28,14,37,28,27,18,15
RRK,FT,West Midlands,University Hospitals Birmingham,30,34,26,11,30,22,23,27,31,21,36,35,40
RA7,FT,South West,University Hospitals Bristol,22,16,19,15,19,15,21,21,28,24,22,31,35
RKB,--,West Midlands,University Hospitals Coventry & Warwickshire,30,22,32,35,24,35,30,33,24,30,32,36,29
RWE,--,East Midlands,University Hospitals of Leicester,48,45,48,44,50,34,41,49,61,46,40,37,54
RTX,FT,North West,University Hospitals of Morecambe Bay,27,17,21,24,27,22,30,16,13,17,32,25,34
RJE,--,West Midlands,University Hospitals of North Midlands,64,62,49,41,41,50,46,50,52,40,64,53,61
RK9,--,South West,University Hospitals Plymouth,33,45,22,25,34,25,30,32,46,40,32,39,34
RBK,--,West Midlands,Walsall Healthcare,12,10,12,11,7,18,14,10,16,15,24,18,21
RWW,FT,North West,Warrington & Halton Hospitals,21,19,17,12,11,14,15,17,20,17,22,21,19
RWG,--,East of England,West Hertfordshire Hospitals,24,16,23,26,16,30,27,22,26,33,33,34,24
RGR,FT,East of England,West Suffolk,17,13,19,16,9,11,10,15,21,16,14,16,14
RYR,FT,South East,Western Sussex Hospitals,31,38,36,25,35,29,33,32,32,30,27,29,30
RA3,--,South West,Weston Area Health,14,5,8,13,5,5,8,11,13,9,10,10,16
RBL,FT,North West,Wirral University Teaching Hospital,30,30,26,25,29,17,18,20,22,19,23,21,22
RWP,--,West Midlands,Worcestershire Acute Hospitals,40,31,26,26,23,16,22,28,33,29,31,36,42
RRF,FT,North West,"Wrightington, Wigan & Leigh",19,20,10,6,13,6,5,13,18,13,19,18,12
RLQ,--,West Midlands,Wye Valley,10,12,8,6,9,7,11,8,11,8,9,16,9
RA4,FT,South West,Yeovil District Hospital,12,12,17,13,13,13,13,13,16,12,15,19,15
RCB,FT,Yorkshire and Humber,York Teaching Hospital,42,50,49,51,44,36,39,49,46,43,51,49,54
