Trust Code,Trust Type,PHE Centre,Trust Name,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17
RR7,FT,North East,Gateshead Health,17,13,19,18,17,29,15,20,22,23,21,18,23
RLT,--,West Midlands,George Eliot Hospital,12,20,12,5,18,8,12,8,10,9,12,7,12
RTE,FT,South West,Gloucestershire Hospitals,13,16,23,27,27,15,20,17,24,16,27,28,25
RP4,FT,London,Great Ormond Street Hospital for Children,2,1,1,1,3,1,2,2,1,0,3,0,2
RN3,FT,South West,Great Western Hospitals,22,17,20,18,19,19,23,17,24,17,16,16,19
RJ1,FT,London,Guy's & St. Thomas',14,20,24,35,17,33,24,23,35,22,24,23,24
RN5,FT,South East,Hampshire Hospitals,21,18,15,24,20,10,23,21,25,23,24,21,27
RCD,FT,Yorkshire and Humber,Harrogate & District,15,12,12,13,10,12,13,16,18,15,11,3,7
RR1,FT,West Midlands,Heart of England,42,48,52,44,42,56,53,59,47,54,50,64,43
RQX,FT,London,Homerton University Hospital,4,10,8,7,13,10,9,10,10,9,16,6,12
RWA,--,Yorkshire and Humber,Hull & East Yorkshire Hospitals,29,25,38,37,29,31,43,33,43,42,33,37,36
RYJ,--,London,Imperial College Healthcare,21,34,36,25,36,25,34,28,34,32,40,32,33
RGQ,--,East of England,Ipswich Hospital,14,16,8,21,27,21,23,12,17,13,14,22,18
R1F,--,South East,Isle of Wight,11,11,11,11,9,10,11,8,12,19,7,13,16
RGP,FT,East of England,James Paget University Hospitals,9,13,19,10,19,23,20,11,18,16,27,24,12
RNQ,FT,East Midlands,Kettering General Hospital,29,19,17,18,23,20,20,23,28,22,15,15,15
RJZ,FT,London,King's College Hospital,36,26,41,40,40,41,39,34,41,35,30,41,28
RAX,FT,London,Kingston Hospital,17,15,16,12,14,14,13,13,22,10,13,7,9
RXN,FT,North West,Lancashire Teaching Hospitals,18,28,24,23,36,26,30,25,36,22,34,25,33
RR8,--,Yorkshire and Humber,Leeds Teaching Hospitals,64,54,67,63,56,48,45,50,58,51,52,62,54
RJ2,--,London,Lewisham & Greenwich,31,25,24,37,26,33,38,32,41,26,26,29,30
RBQ,FT,North West,Liverpool Heart & Chest Hospital,1,3,0,1,1,1,2,0,0,0,0,1,1
REP,FT,North West,Liverpool Women's,3,6,0,2,1,3,1,1,1,0,0,1,1
R1K,--,London,London North West Healthcare,32,40,42,41,39,30,49,43,50,52,48,32,40
RC9,FT,East of England,Luton & Dunstable University Hospital,21,17,13,20,13,12,22,13,23,13,20,15,24
RWF,--,South East,Maidstone & Tunbridge Wells,23,25,33,41,24,30,31,40,37,33,35,34,33
R0A,FT,North West,Manchester University2,40,38,32,39,32,40,40,42,41,48,44,36,38
RPA,FT,South East,Medway,24,24,24,27,23,19,32,26,25,22,27,19,21
RBT,FT,North West,Mid Cheshire Hospitals,17,11,15,20,19,31,16,24,18,18,15,16,9
RQ8,--,East of England,Mid Essex Hospital Services,14,16,21,17,16,17,18,21,22,19,18,20,19
RXF,--,Yorkshire and Humber,Mid Yorkshire Hospitals,34,35,23,32,35,29,32,42,29,44,40,37,28
RD8,FT,East of England,Milton Keynes University Hospital,15,15,21,18,21,13,12,27,21,23,11,14,15
RP6,FT,London,Moorfields Eye Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RM1,FT,East of England,Norfolk & Norwich University Hospitals,29,26,23,36,29,24,36,27,29,43,35,42,32
RVJ,--,South West,North Bristol,26,28,21,17,31,23,27,25,26,26,25,23,30
RNL,--,North West,North Cumbria University Hospitals,16,15,21,22,18,23,20,18,34,17,16,23,21
RAP,--,London,North Middlesex University Hospital,17,19,22,20,21,37,24,21,31,20,32,19,14
RVW,FT,North East,North Tees & Hartlepool,22,26,30,33,26,21,36,31,39,27,26,34,26
RGN,FT,East of England,North West Anglia3,39,34,26,26,25,25,25,36,37,29,38,26,25
RNS,--,East Midlands,Northampton General Hospital,24,18,27,22,19,29,21,19,14,21,26,17,18
RBZ,--,South West,Northern Devon Healthcare,13,13,16,11,10,15,13,16,17,16,19,14,16
RJL,FT,Yorkshire and Humber,Northern Lincolnshire & Goole,13,26,36,24,28,25,28,27,22,26,26,20,16
RTF,FT,North East,Northumbria Healthcare,26,35,36,32,39,31,38,40,35,29,33,29,37
RX1,--,East Midlands,Nottingham University Hospitals,70,68,71,64,62,69,68,69,59,49,50,56,49
RTH,FT,South East,Oxford University Hospitals,46,47,30,41,45,42,33,50,55,56,61,45,34
RGM,FT,East of England,Papworth Hospital,0,0,0,3,0,1,0,2,0,1,2,2,2
RW6,--,North West,Pennine Acute Hospitals,52,29,33,47,45,25,33,43,39,40,44,35,37
RK9,--,South West,Plymouth Hospitals,35,27,24,29,24,32,25,26,32,33,45,22,25
RD3,FT,South West,Poole Hospital,20,7,18,17,17,16,16,29,22,25,19,13,18
RHU,--,South East,Portsmouth Hospitals,31,26,33,28,35,30,36,33,41,24,40,34,28
RPC,FT,South East,Queen Victoria Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RHW,FT,South East,Royal Berkshire,23,20,25,22,37,27,37,39,44,29,33,19,27
RT3,FT,London,Royal Brompton & Harefield,0,0,0,1,2,2,1,0,1,2,1,2,0
REF,--,South West,Royal Cornwall Hospitals,25,32,17,28,15,27,33,28,41,29,27,27,13
RH8,FT,South West,Royal Devon & Exeter,18,26,14,19,21,29,30,26,19,22,30,24,22
RAL,FT,London,Royal Free London,38,29,34,37,35,33,36,50,33,43,36,47,39
RQ6,--,North West,Royal Liverpool & Broadgreen University Hospitals,30,29,33,32,29,35,20,34,20,26,26,29,21
RAN,--,London,Royal National Orthopaedic Hospital,0,0,0,1,0,0,0,0,0,2,1,1,0
RA2,FT,South East,Royal Surrey County Hospital,9,16,8,17,11,16,14,14,18,15,14,17,9
RD1,FT,South West,Royal United Hospitals Bath,32,31,17,25,19,18,35,20,30,27,25,24,28
RM3,FT,North West,Salford Royal,25,22,14,20,23,23,21,18,27,21,25,15,22
RNZ,FT,South West,Salisbury,11,6,12,7,9,9,10,8,9,9,9,12,8
RXK,--,West Midlands,Sandwell & West Birmingham Hospitals,15,18,11,20,16,16,14,25,18,22,16,17,0
RCU,FT,Yorkshire and Humber,Sheffield Children's,0,1,1,2,1,2,2,2,0,1,2,0,0
RHQ,FT,Yorkshire and Humber,Sheffield Teaching Hospitals,55,56,61,50,42,54,49,58,61,52,68,59,57
RK5,FT,East Midlands,Sherwood Forest Hospitals,28,30,20,36,20,26,22,29,29,33,31,28,23
RXW,--,West Midlands,Shrewsbury & Telford Hospital,22,27,25,25,25,19,22,25,31,30,29,31,16
RTR,FT,North East,South Tees Hospitals,33,30,34,35,44,39,40,39,45,40,52,44,41
RE9,FT,North East,South Tyneside,14,12,8,14,6,14,6,13,11,12,9,18,6
RJC,FT,West Midlands,South Warwickshire,18,10,9,11,24,17,13,21,14,17,14,18,16
RAJ,FT,East of England,Southend University Hospital,28,17,19,17,19,21,23,26,18,25,32,23,22
RVY,--,North West,Southport & Ormskirk Hospital,10,17,13,12,14,24,16,20,14,19,19,13,21
RJ7,FT,London,St. George's University Hospitals,11,24,27,32,25,11,22,30,31,21,21,10,18
RBN,--,North West,St. Helens and Knowsley Hospitals,28,29,27,23,18,26,38,32,29,35,36,29,22
RWJ,FT,North West,Stockport,15,19,17,12,19,19,21,21,20,22,17,18,30
RTP,--,South East,Surrey & Sussex Healthcare,26,24,16,29,28,30,37,50,31,23,27,32,32
RMP,FT,North West,Tameside Hospital,16,10,12,12,23,11,13,17,9,15,7,5,15
RBA,FT,South West,Taunton & Somerset,27,20,14,21,20,23,22,31,24,28,31,23,29
RBV,FT,North West,The Christie Hospital,9,4,4,9,7,3,9,8,10,7,10,8,9
REN,FT,North West,The Clatterbridge Cancer Centre,0,0,0,0,0,0,0,4,1,0,0,4,1
RNA,FT,West Midlands,The Dudley Group,26,24,21,25,16,27,31,24,15,19,26,19,18
RAS,FT,London,The Hillingdon Hospitals,14,16,19,18,16,32,15,17,20,14,14,11,9
RTD,FT,North East,The Newcastle upon Tyne Hospitals,41,32,37,33,31,38,36,30,48,29,35,35,39
RQW,--,East of England,The Princess Alexandra Hospital,12,14,18,18,13,10,13,11,25,13,15,20,19
RCX,FT,East of England,The Queen Elizabeth Hospital King's Lynn,22,20,17,21,18,18,20,17,17,18,19,29,18
RL1,FT,West Midlands,The Robert Jones & Agnes Hunt Orthopaedic Hospital,1,1,1,0,0,0,1,0,0,0,2,0,3
RFR,FT,Yorkshire and Humber,The Rotherham,16,19,17,13,17,15,14,24,14,15,13,20,10
RDZ,FT,South West,The Royal Bournemouth & Christchurch Hospitals,23,23,22,30,21,34,32,24,40,24,25,31,21
RPY,FT,London,The Royal Marsden,5,1,2,7,3,6,5,5,5,3,3,5,5
RRJ,FT,West Midlands,The Royal Orthopaedic Hospital,0,0,1,0,0,1,1,0,0,0,0,0,0
RL4,--,West Midlands,The Royal Wolverhampton,24,21,24,28,33,27,31,22,31,26,20,26,32
RET,FT,North West,The Walton Centre,1,0,2,3,0,3,1,1,0,2,1,1,0
RKE,--,London,The Whittington Health,20,9,14,7,13,14,11,13,4,11,12,16,9
RA9,FT,South West,Torbay and South Devon,24,16,18,17,17,18,25,25,22,19,16,16,17
RWD,--,East Midlands,United Lincolnshire Hospitals,30,27,34,31,33,31,31,35,25,23,37,32,31
RRV,FT,London,University College London Hospitals,26,22,17,21,18,26,28,22,23,29,23,21,23
RHM,FT,South East,University Hospital Southampton,23,25,24,26,28,22,14,37,25,27,30,29,25
RRK,FT,West Midlands,University Hospitals Birmingham,22,31,29,29,37,30,30,26,38,30,34,26,11
RA7,FT,South West,University Hospitals Bristol,16,17,21,24,23,25,16,24,20,22,16,19,15
RKB,--,West Midlands,University Hospitals Coventry & Warwickshire,32,21,22,25,22,41,28,24,24,30,22,32,35
RWE,--,East Midlands,University Hospitals of Leicester,48,49,53,53,47,45,54,52,42,48,45,48,44
RTX,FT,North West,University Hospitals of Morecambe Bay,21,18,13,20,27,23,30,33,28,27,17,21,24
RJE,--,West Midlands,University Hospitals of North Midlands,48,61,39,61,39,44,54,55,47,64,62,49,41
RBK,--,West Midlands,Walsall Healthcare,13,9,9,13,13,12,15,14,13,12,10,12,11
RWW,FT,North West,Warrington & Halton Hospitals,16,16,12,17,21,16,18,24,16,21,19,17,12
RWG,--,East of England,West Hertfordshire Hospitals,21,20,18,18,18,14,26,28,24,24,16,23,26
RGR,FT,East of England,West Suffolk,16,19,9,15,12,11,16,15,11,17,13,19,16
RYR,FT,South East,Western Sussex Hospitals,26,35,33,40,30,28,27,39,47,31,38,36,25
RA3,--,South West,Weston Area Health,9,15,8,9,15,6,11,9,8,14,5,8,13
RBL,FT,North West,Wirral University Teaching Hospital,21,10,20,20,18,21,20,32,26,30,30,26,25
RWP,--,West Midlands,Worcestershire Acute Hospitals,29,25,26,36,30,31,44,41,35,40,31,26,26
RRF,FT,North West,"Wrightington, Wigan & Leigh",14,15,12,12,16,20,6,6,9,19,20,10,6
RLQ,--,West Midlands,Wye Valley,9,10,3,11,7,13,13,15,10,10,12,8,6
RA4,FT,South West,Yeovil District Hospital,12,15,6,14,15,13,22,17,17,12,12,17,13
RCB,FT,Yorkshire and Humber,York Teaching Hospital,33,42,46,42,49,44,43,37,50,42,50,49,51
